Keyword,Count
data visualization,4080
visualization,3196
computer graphics,1629
rendering (computer graphics),1475
data visualisation,1428
computational modeling,1125
shape,968
animation,904
layout,858
virtual reality,794
solid modeling,794
visual analytics,716
application software,706
humans,706
human-centered computing,701
data mining,696
geometry,612
three-dimensional displays,610
data analysis,598
graphics,594
human computer interaction (hci),591
image color analysis,587
displays,568
computer science,563
navigation,551
hardware,550
categories and subject descriptors (according to acm ccs),531
cameras,493
user interfaces,488
feature extraction,412
computer displays,408
art,397
interpolation,373
algorithm design and analysis,366
computing methodologies,357
data models,357
image reconstruction,357
topology,355
testing,338
collaboration,331
three dimensional displays,331
internet,322
computational geometry,320
prototypes,317
information analysis,315
data structures,307
ccs concepts ,302
biomedical imaging,301
analytical models,293
graphical user interfaces,284
virtual environment,283
information retrieval,282
interactive systems,279
educational institutions,277
isosurfaces,274
augmented reality,268
computer vision,266
equations,263
image segmentation,262
laboratories,260
mathematical model,260
encoding,259
information visualization,258
history,257
color,255
surface reconstruction,255
clustering algorithms,247
robustness,247
usability,246
lighting,244
buildings,235
tools,235
task analysis,232
costs,231
acceleration,231
context,229
pipelines,227
ray tracing,225
information systems,211
visual databases,210
interaction design,202
electronic mail,201
transfer functions,199
image generation,193
decision making,192
optimization,190
artificial intelligence,189
tensile stress,188
shading,188
measurement,187
workstations,186
large-scale systems,183
human computer interaction,182
two dimensional displays,182
psychology,181
trajectory,180
haptic interfaces,180
games,178
interaction paradigms,177
real-time systems,174
uncertainty,174
mesh generation,171
pixel,169
,168
graph theory,166
semantics,166
geographic information systems,165
spline,165
databases,160
computer architecture,160
image processing,160
multidimensional systems,158
sampling methods,158
cities and towns,158
streaming media,158
education,156
space technology,155
shadowing,155
rendering,153
deformable models,153
design automation,153
libraries,152
cognition,152
surface texture,152
histograms,151
vectors,150
feedback,150
surface treatment,146
computed tomography,145
correlation,144
polynomials,142
lenses,142
scattering,139
joining processes,139
computational fluid dynamics,139
biological system modeling,138
applied computing,137
tracking,137
monitoring,136
road vehicles,136
performance analysis,135
collaborative work,135
mathematics,135
magnetic resonance imaging,134
filtering,133
interaction devices,132
filters,132
image resolution,130
and texture,130
production,129
computer simulation,128
painting,128
object detection,127
image analysis,126
collaborative and social computing,125
computer animation,125
mice,125
chromium,125
tree graphs,124
time series analysis,124
surface,124
surgery,122
engines,119
predictive models,119
virtual environments,119
design engineering,118
languages,118
real time systems,116
traffic engineering computing,115
hci design and evaluation methods,114
training,114
kernel,114
flow visualization,113
image edge detection,112
light sources,112
proteins,111
taxonomy,111
smoothing methods,111
market research,111
social network services,110
media,110
legged locomotion,110
human factors,108
software,108
learning (artificial intelligence),107
java,106
software tools,106
instruments,106
complexity theory,106
motion pictures,105
focusing,105
finite element methods,105
